기준년월,제주 대분류,제주 중분류,업종명,성별,연령대별,year,month,카드이용금액
2016-04-01,제주시,이도2동,기타음료식품,남,40대,2016,4,526589.7428756992
2016-04-01,제주시,이도2동,의원,남,40대,2016,4,1796049.2577912137
2016-04-01,서귀포시,예래동,스넥,남,20대,2016,4,1540431.357924206
2016-04-01,제주시,연동,슈퍼마켓,여,40대,2016,4,11278816.525120357
2016-04-01,제주시,삼도2동,의원,여,30대,2016,4,507232.84139063745
2016-04-01,제주시,연동,스넥,남,40대,2016,4,5313580.21755082
2016-04-01,서귀포시,대륜동,스넥,남,30대,2016,4,422165.7995199405
2016-04-01,제주시,용담2동,스넥,남,40대,2016,4,1003224.3843577859
2016-04-01,서귀포시,성산읍,기타음료식품,여,30대,2016,4,1309611.853966534
2016-04-01,제주시,애월읍,스포츠레져용품,남,30대,2016,4,610865.905615151
2016-04-01,제주시,용담2동,스넥,남,30대,2016,4,1187985.8134353855
2016-04-01,서귀포시,예래동,기타음료식품,여,30대,2016,4,2160031.130743864
2016-04-01,서귀포시,예래동,기타음료식품,여,50대,2016,4,964805.3151862915
2016-04-01,서귀포시,성산읍,정장(여성),여,30대,2016,4,439683.30097422
2016-04-01,제주시,연동,의원,남,30대,2016,4,1596503.591285367
2016-04-01,제주시,연동,스넥,여,50대,2016,4,1866548.3727138683
2016-04-01,제주시,연동,슈퍼마켓,여,50대,2016,4,8659967.200789459
2016-04-01,서귀포시,예래동,스넥,여,50대,2016,4,1613162.4780500648
2016-04-01,서귀포시,성산읍,스넥,남,20대,2016,4,2294662.641677125
2016-04-01,서귀포시,남원읍,기념품점,여,20대,2016,4,618560.3754570847
2016-04-01,서귀포시,성산읍,스넥,남,40대,2016,4,2401517.53914933
2016-04-01,서귀포시,예래동,스넥,여,30대,2016,4,3896919.5139887473
2016-04-01,서귀포시,성산읍,기념품점,남,40대,2016,4,4681238.915865069
2016-04-01,제주시,용담2동,스넥,여,40대,2016,4,719784.0341405411
2016-04-01,서귀포시,성산읍,기념품점,남,50대,2016,4,1592991.9053037118
2016-04-01,서귀포시,예래동,스넥,남,40대,2016,4,4166196.514157132
2016-04-01,제주시,용담2동,스넥,여,30대,2016,4,1127530.6986683097
2016-04-01,제주시,연동,기타음료식품,여,20대,2016,4,318362.28040155326
2016-04-01,서귀포시,대륜동,슈퍼마켓,남,40대,2016,4,1884774.485795603
2016-04-01,제주시,애월읍,기타음료식품,남,50대,2016,4,209018.17233805696
2016-04-01,서귀포시,남원읍,슈퍼마켓,여,50대,2016,4,1648152.8723587254
2016-04-01,서귀포시,예래동,슈퍼마켓,여,50대,2016,4,330321.2984883869
2016-04-01,제주시,용담2동,스넥,남,50대,2016,4,670371.6742281059
2016-04-01,서귀포시,성산읍,슈퍼마켓,남,50대,2016,4,8084999.423938014
2016-04-01,서귀포시,남원읍,기타음료식품,남,20대,2016,4,906785.7781130513
2016-04-01,제주시,삼도2동,슈퍼마켓,여,40대,2016,4,751924.2861165967
2016-04-01,제주시,이도2동,슈퍼마켓,남,20대,2016,4,7147985.32699534
2016-04-01,서귀포시,남원읍,슈퍼마켓,여,30대,2016,4,1696783.3766883982
2016-04-01,제주시,애월읍,슈퍼마켓,남,50대,2016,4,5884234.119649424
2016-04-01,제주시,노형동,슈퍼마켓,여,40대,2016,4,11748151.286052734
2016-04-01,제주시,용담2동,슈퍼마켓,여,30대,2016,4,2809783.419617833
2016-04-01,서귀포시,성산읍,기념품점,여,30대,2016,4,6000591.781705226
2016-04-01,제주시,삼도2동,의원,남,30대,2016,4,308867.54078602744
2016-04-01,제주시,용담2동,스넥,여,20대,2016,4,885488.7862422001
2016-04-01,제주시,이도2동,의원,여,50대,2016,4,989159.055098441
2016-04-01,서귀포시,예래동,스넥,남,30대,2016,4,4546124.655425631
2016-04-01,제주시,애월읍,스넥,남,50대,2016,4,2640920.067318494
2016-04-01,제주시,애월읍,슈퍼마켓,여,50대,2016,4,3052600.8888977184
2016-04-01,서귀포시,성산읍,스넥,여,40대,2016,4,1524522.0320369827
2016-04-01,제주시,노형동,의원,남,20대,2016,4,2207238.414598151
2016-04-01,제주시,삼도2동,기념품점,남,50대,2016,4,355353.0133121741
2016-04-01,제주시,연동,스넥,남,50대,2016,4,2879749.1228188775
2016-04-01,제주시,이도2동,슈퍼마켓,여,20대,2016,4,10177500.353673847
2016-04-01,서귀포시,남원읍,슈퍼마켓,남,40대,2016,4,3715652.455162808
2016-04-01,제주시,용담2동,기타음료식품,남,40대,2016,4,1204805.317321753
2016-04-01,서귀포시,남원읍,스넥,여,40대,2016,4,1319271.1315178145
2016-04-01,제주시,노형동,슈퍼마켓,남,50대,2016,4,15882345.389028452
2016-04-01,서귀포시,대륜동,슈퍼마켓,남,30대,2016,4,1412861.5292559701
2016-04-01,서귀포시,성산읍,기타음료식품,남,40대,2016,4,1218702.3466685656
2016-04-01,서귀포시,성산읍,기념품점,남,30대,2016,4,5975316.595568909
2016-04-01,서귀포시,성산읍,슈퍼마켓,남,40대,2016,4,9755244.933778813
2016-04-01,서귀포시,예래동,기타음료식품,여,40대,2016,4,1859552.9115893273
2016-04-01,서귀포시,남원읍,약국,남,30대,2016,4,136995.5171552109
2016-04-01,서귀포시,남원읍,슈퍼마켓,남,50대,2016,4,3520230.7504831636
2016-04-01,제주시,노형동,기타음료식품,여,40대,2016,4,906376.0517618424
2016-04-01,서귀포시,예래동,기타음료식품,남,40대,2016,4,2590712.9043585807
2016-04-01,제주시,이도2동,기타음료식품,여,30대,2016,4,1013732.0775434305
2016-04-01,제주시,연동,스넥,여,30대,2016,4,7669999.352393515
2016-04-01,제주시,연동,스넥,여,40대,2016,4,3531409.840955146
2016-04-01,제주시,연동,스넥,남,30대,2016,4,8133359.779821655
2016-04-01,제주시,연동,의원,남,40대,2016,4,1306708.1390369793
2016-04-01,제주시,연동,슈퍼마켓,남,50대,2016,4,15328708.033917714
